0_browser_update 1_os_update 2_user_update 3_environment_update 4_others 
Vivaldi 0.192842942346 0.00397614314115 0.270377733598 0.218687872763 0.314115308151 
Chrome 0.29731324164 0.0214569848975 0.264911452715 0.231256742179 0.185061578569 
SeaMonkey 0.0758620689655 0.0 0.337931034483 0.393103448276 0.193103448276 
Maxthon 0.0924657534247 0.00342465753425 0.0856164383562 0.506849315068 0.311643835616 
AppEngine-Google 0.0 0.0 0.0 1.0 0.0 
Firefox_Mobile 0.456288708909 0.0552644116246 0.286922343973 0.177108146737 0.0244163887566 
Other 0.0 0.0 0.322580645161 0.516129032258 0.161290322581 
Apple_Mail 0.0 0.0 0.0 1.0 0.0 
QQ_Browser 0.333333333333 0.0 0.0 0.333333333333 0.333333333333 
Crosswalk 0.0 0.0 0.5 0.0 0.5 
QQ_Browser_Mobile 0.0 0.0 1.0 0.0 0.0 
BlackBerry_WebKit 0.0 0.0 0.0357142857143 0.964285714286 0.0 
Mobile_Safari_UI/WKWebView 0.227793696275 0.227793696275 0.118911174785 0.382521489971 0.0429799426934 
Mobile_Safari 0.00271275085966 0.484284192061 0.228885445603 0.245464401543 0.0386532099334 
Samsung_Internet 0.370727010111 0.0929947038999 0.307751564757 0.16682715455 0.0616995666827 
Sogou_Explorer 0.0 0.0 0.555555555556 0.333333333333 0.111111111111 
Facebook 0.25641025641 0.153846153846 0.0 0.589743589744 0.0 
Safari 0.139379842664 0.103497829597 0.0910532007882 0.563386124239 0.102683002711 
IE_Mobile 0.0 0.0 0.75 0.25 0.0 
Pale_Moon 0.277777777778 0.0185185185185 0.166666666667 0.333333333333 0.203703703704 
Opera_Neon 0.0 0.0 0.333333333333 0.333333333333 0.333333333333 
Chrome_Mobile_iOS 0.113939393939 0.123636363636 0.0763636363636 0.533333333333 0.152727272727 
Opera 0.349129494179 0.00844751210467 0.213969300505 0.213145152982 0.215308540229 
UC_Browser 0.456043956044 0.252747252747 0.0879120879121 0.0934065934066 0.10989010989 
Amazon_Silk 0.618609994256 0.0 0.185525560023 0.174037909248 0.0218265364733 
HeadlessChrome 0.923076923077 0.0 0.0 0.0769230769231 0.0 
Thunderbird 0.325581395349 0.0 0.139534883721 0.511627906977 0.0232558139535 
Chrome_Mobile 0.358479983173 0.0317137582089 0.160960371435 0.293237358511 0.155608528672 
Dragon 0.1 0.0 0.3 0.4 0.2 
Android 0.0 0.0 0.0394088669951 0.955665024631 0.00492610837438 
Opera_Mobile 0.592067988669 0.0396600566572 0.175637393768 0.164305949008 0.028328611898 
Puffin 0.525423728814 0.0169491525424 0.220338983051 0.0169491525424 0.220338983051 
Firefox_iOS 0.232558139535 0.255813953488 0.093023255814 0.263565891473 0.15503875969 
Iron 0.20245398773 0.0122699386503 0.20245398773 0.239263803681 0.343558282209 
IE 0.0 0.0111420612813 0.439351734616 0.438085591289 0.111420612813 
MobileIron 0.176470588235 0.176470588235 0.0588235294118 0.470588235294 0.117647058824 
Edge_Mobile 0.0247933884298 0.0 0.231404958678 0.140495867769 0.603305785124 
Mail.ru_Chromium_Browser 0.25 0.0 0.0 0.5 0.25 
Firefox 0.242000642227 0.00521032950414 0.174406198531 0.517174406199 0.0612084235387 
Yandex_Browser 0.436224489796 0.015306122449 0.178571428571 0.18112244898 0.188775510204 
Coc_Coc 0.324786324786 0.0 0.136752136752 0.17094017094 0.367521367521 
Seznam_prohle 0.214285714286 0.142857142857 0.214285714286 0.285714285714 0.142857142857 
Edge 0.18975 5e-05 0.5448 0.18455 0.08085 
Chrome_Mobile_WebView 0.252239509665 0.038189533239 0.333804809052 0.337576614804 0.038189533239 
Chromium 0.257425742574 0.0 0.16501650165 0.0594059405941 0.518151815182 
QupZilla 0.0 0.0 0.0 0.5 0.5 
