Windows iOS Android Mac OS X Ubuntu Linux Windows Phone others
2017-11-21 214 70 66 41 1 1 1 1
2017-11-22 10675 4036 4164 1755 44 86 43 16
2017-11-23 10849 4669 4051 1738 52 96 52 12
2017-11-24 11386 6098 5130 1918 40 94 47 13
2017-11-25 7795 5174 4474 1434 31 73 54 13
2017-11-26 8665 6551 6027 1705 31 80 53 26
2017-11-27 11840 4914 4500 2055 40 95 55 30
2017-11-28 10251 4086 3956 1887 56 85 34 22
2017-11-29 9041 2827 2752 1528 47 74 32 16
2017-11-30 9859 4708 4313 1845 62 69 54 23
2017-12-1 10751 4928 4953 1700 71 74 51 13
2017-12-2 6838 3899 3991 1058 50 41 54 15
2017-12-3 8251 5245 5062 1456 62 61 53 15
2017-12-4 10994 3974 4348 1753 82 68 48 17
2017-12-5 12540 5620 5739 2029 89 81 64 25
2017-12-6 10292 4918 4996 1778 84 74 47 32
2017-12-7 6979 3131 3999 1228 43 64 53 24
2017-12-8 10210 4941 5855 1463 86 79 73 26
2017-12-9 7983 5300 5781 1218 73 50 64 14
2017-12-10 7586 4743 5500 1187 71 47 53 15
2017-12-11 12553 5020 5600 1991 106 77 52 30
2017-12-12 7309 3463 4484 1318 61 60 34 12
2017-12-13 8993 3901 4916 1489 68 53 48 13
2017-12-14 4639 2172 3403 748 43 37 29 11
2017-12-15 2368 1191 1324 349 20 23 16 9
2017-12-16 6571 5145 6602 1092 75 46 52 15
2017-12-17 3433 2548 3747 671 46 30 30 17
2017-12-18 8159 3449 4653 1306 78 77 41 12
2017-12-19 9455 4587 5499 1571 87 56 53 14
2017-12-20 11622 5797 5858 2028 94 66 52 18
2017-12-21 9455 5395 5346 1694 76 49 58 18
2017-12-22 10794 7029 5703 1952 86 68 78 17
2017-12-23 5479 3243 3021 987 47 40 28 7
2017-12-24 3070 1535 1495 519 27 20 12 0
2017-12-25 3849 2114 2449 489 31 22 17 7
2017-12-26 7574 6164 5618 1222 58 60 73 17
2017-12-27 5948 4201 3987 1005 67 53 39 10
2017-12-28 11395 6080 4979 1888 79 67 45 12
2017-12-29 8923 4987 5285 1313 65 69 46 8
2017-12-30 5488 2597 2972 786 26 30 28 6
